GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SnakeNLadderApp,in.assignment.snla.processor,MainClass,74,0,6,0,23,0,5,0,2,0
SnakeNLadderApp,in.assignment.snla.processor,BoardGame,0,172,0,16,0,37,0,15,0,7
